"CNT","Country","GNI","StudentTeacherRatio","TeacherMasters","ClassSize","ExtraCur","MaterialShortages","StaffShortages","StudentBehaviour","TeacherBehaviour","Attitude","Bullying","Discipline","SocioEcoStatus","ParentEducation","Competitiveness","Cooperation","TeacherFeedback","TeacherEngagment","TeacherInterest","TeacherSupport","TruantDay","TruantClass","PositiveAffect","LearningTime","Spending"
"DEU","Germany",0.754946580221474,0.0752516333539381,0.0637279020276052,-0.396447814466854,0.587642953689077,0.284268897640896,0.974311219216422,0.333247607577711,0.866786491578797,0.122923415573324,-0.40881961861702,-0.336545177556359,0.4024959900075,-0.37102859719847,-1.86146090006345,0.248803921724328,-0.717542093578766,-0.947230903382298,-1.06533534987014,-1.4831190070992,-0.0140642616845877,0.0186929218873125,-0.0940097879491897,-0.377344277108331,0.472210454170284
"GRC","Greece",-0.281314852584967,-0.86446809379737,-0.852379242355567,-0.725497477930676,-0.455203850216415,1.06206781214326,0.280903603386572,-0.540849094353691,-0.873528306167957,-1.01925144208553,-0.337515481893504,-1.32989239439554,0.397428322830422,0.588831803087358,-0.445803646723691,-0.178556990218716,-0.824015676368747,-0.49760100302961,-1.60619327915816,-1.22118201822336,-0.244691956933547,-0.0083948776029194,-0.664079682686056,0.18833107672087,-0.228800087505557
"HUN","Hungary",-0.273404459968124,-0.657029215976219,-0.645199567448624,-0.124407350991806,-0.459774157961346,0.493086382922303,0.128070957727088,-0.777307312065296,-1.2730720703213,0.484755847543795,-0.81782534656564,-0.204524322286539,0.443731668544213,0.327785128359435,-1.01878733261003,-0.5991972630627,-0.669527353791064,-0.250307036567464,-0.602455467139409,-1.14961777052222,-0.637819490536096,-0.616474736554514,0.460330411040356,-0.40348184679784,-0.417030306077491
"ISL","Iceland",0.781175776793111,-0.928744896198085,-0.897106556009382,-1.71834102417206,0.108080165522428,-1.01211765504692,-0.563299388124861,-0.657007282359658,-0.00167786112555785,0.879427561928472,-1.08097439152546,-0.50600686198489,1.57884971513376,1.17741271473573,0.111642427529152,1.30013631001601,-1.22751965084287,-1.33758692299972,-0.246177311464887,0.207656445335608,-0.463897437468372,-0.338390885837278,-0.864726170923411,-0.0502990753026727,0.834570730673694
"IRL","Ireland",1.27495081066553,-0.189161506163006,-0.171325172432546,-0.499435079426106,-0.647556359695716,0.0735804436357926,0.307705604387702,0.245345317466902,0.446061870086786,0.548768006468342,0.186602284546031,-0.314808588704751,0.800065254390144,0.671733263225898,0.543473576909532,-0.872769445733739,0.925355881615842,-0.331508176286228,0.178523210666112,0.00813831174027579,-0.347211506145283,-0.408995014143914,-0.877143194880387,0.697901823172395,0.303894363448198
"ISR","Israel",0.062995394474465,-0.473437142056907,-0.466430176625387,0.375398227199393,-0.253820904372175,0.403969167091476,0.825836081751868,0.652549208510873,1.02684442230049,0.685498284984045,NA,-0.508165772899967,1.21435002013283,0.842953979215968,-0.567429062854559,0.207358791875644,-0.917389809646751,-1.01927171521672,-0.850641974220636,-0.902693832744116,0.154035007739748,0.184814409068693,NA,0.90283926536338,0.105597688049134
"ITA","Italy",0.244101751754819,-1.00688261869928,-1.08701910329599,-0.903424484055129,-0.501147533495949,0.297598662111074,1.15234316933274,0.0713589083604011,0.593909416955194,-0.0648449698797263,-0.645350042815527,-0.532356097560659,0.159294130268258,-0.334414589529349,-1.18252886507937,-1.33683230734733,-0.673441407675784,-1.58976854977417,-1.03233736403712,-0.763164202641078,0.473906882532777,0.364058959723276,NA,0.890091770432381,0.263008204798901
"JPN","Japan",0.331116070540093,-0.330853518356891,NA,1.35284282403355,0.851162684719485,1.36852509655082,2.30001237203938,-0.623888731405763,1.03604040457376,0.836540566612424,-1.48321915416069,2.11690911335881,0.363501572533127,0.813452637926974,-1.67702231699426,0.415599607560107,-1.63782581826176,-0.0423291498761505,-1.64497607853145,-0.30820948271382,-1.0031827234936,-1.05648916842553,-1.0577770395998,0.311894352979027,0.461922705927136
"KOR","Korea",0.152507731980847,-0.0990453583830585,-0.0945154041465976,-0.150236910815087,1.19358839495601,0.650277915908604,0.455161180950903,-0.0510920792956178,-0.390715539653579,0.426899195780901,NA,3.05890864572998,0.725301265205744,1.24738112100053,1.80725827462045,0.635683877143723,0.338430655735883,0.849494490035745,1.62659532409563,0.0640066034153425,-1.00510510816183,-1.07211071929851,-0.295750594065927,1.16535769273332,0.746481560781572
"LVA","Latvia",-0.276735151596269,-0.694439895422232,-0.751228047191619,-1.06233326310326,0.772687089142362,-0.656713805463431,-0.216552065201442,0.307374942691512,-1.1454100961374,-1.46588537821398,1.14560003442995,-0.0363606208088326,0.543236863916761,0.726904266877728,-0.586264998049148,-1.1876355358759,0.0639489308052412,-0.180639612376302,-1.47231365773482,-0.380296949509527,-0.466692686365859,-0.3703055587539,-0.29893708031365,-0.678812761532603,-0.172786531094463
