CNT,Country,GNI,StudentTeacherRatio,TeacherMasters,ClassSize,ExtraCur,MaterialShortages,StaffShortages,StudentBehaviour,TeacherBehaviour,Attitude,Bullying,Discipline,SocioEcoStatus,ParentEducation,Competitiveness,Cooperation,TeacherFeedback,TeacherEngagment,TeacherInterest,TeacherSupport,TruantDay,TruantClass,PositiveAffect,LearningTime
LVA,Latvia,-0.27673515159626866,-0.6944398954222322,-0.7512280471916193,-1.06233326310326,0.7726870891423622,-0.6567138054634308,-0.21655206520144182,0.3073749426915125,-1.145410096137397,-1.4658853782139827,1.1456000344299464,-0.036360620808832636,0.5432368639167607,0.7269042668777284,-0.5862649980491478,-1.1876355358758983,0.0639489308052412,-0.18063961237630174,-1.4723136577348235,-0.3802969495095273,-0.4666926863658589,-0.37030555875389987,-0.2989370803136501,-0.6788127615326032
LTU,Lithuania,-0.08771840169907125,-0.8428020517534568,-0.8311252636091866,-0.9271389631448128,0.6270265649295585,-0.13459718112647578,-1.02169740064763,-0.43493876348316224,-1.356277656167195,-1.1271506305327297,-0.19290216208032668,0.486923651605771,0.6270584021472779,0.9233305053814715,0.12251012505286871,0.7850317653122549,0.180467677186366,0.3189498628136865,-0.9615386003730088,-0.5093982525933975,-0.4510021444290821,-0.3441431483161892,-0.13303386341645726,-1.002524642100699
LUX,Luxembourg,1.4893640842273246,-0.9515994691483379,-0.9546360860330112,-0.8316131122943815,0.9012319691156303,-1.1275993906726742,0.4099939681794284,0.07974301438233912,-0.19193818130725088,0.15953510364299858,-0.5313931118177261,-0.5005503686925968,0.5909513709626922,-0.06525991484953794,-0.8384551352078278,-0.30274189367261994,-0.6601789248173142,-0.9181092601771128,-1.264928167354243,-1.3909254081064142,-0.5808673875067606,-0.5874125859420388,-0.11089701997708208,0.04688961465906918
MEX,Mexico,-0.7113904090691191,3.706159990793647,3.7093818774621252,2.0583280192201077,-0.19140675262222395,0.8596336834720968,0.0651172920083206,0.23037076126208156,-0.17609692733808924,0.930683168779432,-0.4143581713858248,-0.5392755981420811,-1.4416465665541018,-1.3296270221674702,-0.18962341455252202,-0.2622218905060213,-0.18404419052128157,-0.2985437580108165,0.7488114654955628,0.9304604595289634,-0.0025281396029750406,-0.019557367865645717,1.2496500622915119,0.5447211242045721
NLD,Netherlands,0.851952973891181,0.724655869257721,0.7531250446760449,-0.38268080186367903,-0.16356338103225873,-1.2972869457268343,0.10222344042140893,0.8562964955560671,2.0004611778912325,0.320541886104184,-1.5082490136798168,-1.124904973705576,1.0492344557933884,0.9957946534894565,-2.0090971215513984,0.7411044425407236,-0.9833824428339144,-2.2414836202347845,-1.3860511905474162,-2.1018503411287037,0.09838781502008415,0.1853558496818652,-0.07504744796193631,-0.04952137936752917
NZL,New Zealand,0.12419685314161923,0.05376073321074712,0.06262246045701006,-0.48876164733551153,1.5590653364126796,-0.8792346020352882,-0.03300291707023969,0.6300988605224521,0.4634369108050693,0.5529477958759538,1.2155113777508568,-0.9666804812172293,0.8981884721285681,0.05804183631401574,1.114784520097179,-0.17111565270398796,1.6771362784174177,0.0747874059916674,0.6283565227558591,0.31362743527875436,-0.4914252059008609,-0.5770922720115026,NaN,-0.8162040782776729
NOR,Norway,1.327409203808801,NaN,NaN,-0.6283068891125504,-2.533500078258112,-0.4269417529977505,-0.7535297512039483,0.5992371745341256,0.6879403480745295,-0.32462603679873653,-0.8582050045476264,-0.33327515455284457,1.5596743818792411,0.7766127815582289,1.412156319788571,2.722750162957563,0.17163997275363072,-1.5386046808157052,-0.07711453504691627,-0.8268058225527211,-0.5804703561103723,-0.5578667710986129,NaN,-0.8064445980842971
POL,Poland,-0.26715941316535335,-1.1408791877136515,-1.1255862711611098,-0.5101085115167016,0.42400910221486976,-0.6646228976419377,-2.270598178512691,-0.4200191741229071,-1.2271744327165388,-1.9460163550173613,-0.08250543644138358,-0.33081466602489745,0.30032539133470815,-0.17085430540662822,0.4929143842579368,-0.08471101650992377,-0.13589013666167218,-0.13739638209804822,-1.6904318444966944,-1.49163267592759,-0.527723481148619,-0.44178259242746853,-0.7637215083681802,0.46274574960387377
PRT,Portugal,-0.15599758007603243,-0.760983716408163,-0.7507857362411637,-0.3877382033784033,-1.1108969246753828,0.9315031344823227,2.1179843823531943,0.9327735617305825,1.0778745663633902,1.8227345568048756,-1.3344611126512558,-0.41712193012744625,-0.12076972300704368,-1.0806468815120156,0.5712458769910197,-0.36846297185939014,-0.4239430352801502,-0.12495286345869777,-0.01627038198002834,1.1565826491813802,-0.42686829263349135,-0.34977246048876937,0.6166378115771259,0.995298338698309
SVK,Slovak Republic,-0.1401767948423463,-0.17171327534661077,-0.1673055915493722,-1.1199292239869176,-0.45246326824896826,0.6533736330839087,-0.8313838306206749,-0.29288267031574855,-1.0585351049615312,-1.4885589324673005,-0.077826746069082825,-0.2310876041378976,0.23040667547616325,0.2000435381032185,-0.6366031682181809,-1.0932533283745682,-0.9531959203245447,-0.9837622848859218,-1.8048521497336614,-1.2769701638696156,-0.060469810141084095,-0.03719359069711787,-0.5318946007551912,-0.9629585726275304
SVN,Slovenia,0.04259490825208026,-1.2618658268614107,-1.2335679551011451,-0.648863128694437,0.4252736675404113,-0.43115645295298877,-0.34165051323548146,0.010464384769717202,0.3256640697166852,-0.4578076915584727,-0.598575580222579,-0.7343173475001564,0.5416705232297064,0.04733738714976684,-0.9351545143827432,-0.40240978875915306,-1.9661183856772,-0.9188202913508872,-1.0078054525652431,-2.6780537803255724,-0.4179587392616964,-0.33229554669297573,-3.21401305360649,0.4536878688760617
